자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시,,
관악구,"A9027 1-1R [줌인반대] 산불감시(연주대,삼성동)",방범,37.44241172,126.9653313,1,2021-09-08,,
관악구,"A9029 1-1R 산불감시(삼성산,삼성동)",방범,37.45032292,126.9342377,1,2021-09-08,,
관악구,"A9028 1-1R 산불감시(모자봉,대학동)",방범,37.45241416,126.9466631,1,2021-09-08,,
관악구,AD005 1-1R 무장애등산로#3 (대학동 산52),방범,37.45471388,126.948143,1,2021-09-08,,
관악구,A2035 1-1R 관악산공원 제2야영장,방범,37.45560656,126.9453963,1,2021-09-08,,
관악구,A3004 1-1R 무장애등산로#1 (대학동 산 56-2),방범,37.45641695,126.9461288,1,2021-09-08,,
관악구,AD004 1-1R 무장애등산로#2 (대학동 산52),방범,37.45652999,126.9471459,1,2021-09-08,,
관악구,AE008 2-3S 삼성동 산 57-14 (삼성산성지),방범,37.45671431,126.9294839,1,2021-09-08,,
관악구,AE008 1-3R 삼성동 산 57-14 (삼성산성지),방범,37.45683756,126.9294463,1,2021-09-08,,
관악구,AE008 3-3S 삼성동 산 57-14 (삼성산성지),방범,37.45696459,126.929479,1,2021-09-08,,
관악구,AF015 1-1R 삼성동 산 58-20 (제2구민운동장 위 산책로),방범,37.45731983,126.9332461,1,2021-09-08,,
관악구,A2034 2-2S 관악산공원 제1야영장,방범,37.45739525,126.94625,1,2021-09-08,,
관악구,AB019 1-1R 안전한산책로#3(난향동 산 102-12),방범,37.45750048,126.9204326,1,2021-09-08,,
관악구,AF021 4-4S 삼성동 산 57-14 (삼성산성지),방범,37.45752943,126.929396,1,2021-09-08,,
관악구,AF021 3-4S 삼성동 산 57-14 (삼성산성지),방범,37.45759182,126.9292961,1,2021-09-08,,
관악구,LE002 4-BS 삼성동 산72-2 제2구민운동장,방범,37.45759351,126.9334634,1,2021-09-08,,
관악구,AF021 1-4R 삼성동 산 57-14 (삼성산성지),방범,37.45759712,126.9293858,1,2021-09-08,,
관악구,AB018 1-1R 안전한산책로#2(난향동 산 102-12),방범,37.45766012,126.9185619,1,2021-09-08,,
관악구,AF021 2-4S 삼성동 산 57-14 (삼성산성지),방범,37.45766625,126.9293822,1,2021-09-08,,
관악구,LE002 2-BS 삼성동 산72-2 제2구민운동장,방범,37.45769094,126.9335579,1,2021-09-08,,
관악구,LE002 5-BS 삼성동 산72-2 제2구민운동장,방범,37.45769421,126.9337825,1,2021-09-08,,
관악구,LE002 3-BS 삼성동 산72-2 제2구민운동장,방범,37.45772543,126.9334357,1,2021-09-08,,
관악구,LE002 6-BS 삼성동 산72-2 제2구민운동장,방범,37.45780574,126.9337903,1,2021-09-08,,
관악구,LE002 A-BS 삼성동 산72-2 제2구민운동장,방범,37.4578284,126.9335971,1,2021-09-08,,
관악구,LE002 7-BS 삼성동 산72-2 제2구민운동장,방범,37.45791413,126.9338217,1,2021-09-08,,
관악구,LE002 B-BS 삼성동 산72-2 제2구민운동장,방범,37.45794932,126.9335468,1,2021-09-08,,
관악구,A2034 1-2R 관악산공원 제1야영장,방범,37.45796926,126.9464133,1,2021-09-08,,
관악구,LE002 9-BR 삼성동 산72-2 제2구민운동장,방범,37.45800599,126.9337694,1,2021-09-08,,
관악구,LE002 8-BS 삼성동 산72-2 제2구민운동장,방범,37.45802797,126.9337546,1,2021-09-08,,
관악구,AD024 1-1R 안전한산책로#4 (난향동 산102-7),방범,37.45822172,126.9214658,1,2021-09-08,,
관악구,A2010 1-1R 관악산공원 호수공원 #01,방범,37.45853189,126.946999,1,2021-09-08,,
관악구,DD013 1-4S 삼성동 산57-1,방범,37.45853839,126.929692,1,2021-09-08,,
관악구,DD013 2-4S 삼성동 산57-1,방범,37.45860428,126.9296308,1,2021-09-08,,
관악구,DD013 4-4S 삼성동 산57-1,방범,37.45871971,126.929934,1,2021-09-08,,
관악구,P1069 2-3S 난향동 산 102-9,방범,37.45873664,126.9222225,1,2021-09-08,,
관악구,DD013 3-4S 삼성동 산57-1,방범,37.45876798,126.9298044,1,2021-09-08,,
관악구,AD023 1-1R 안전한산책로#1 (난향동 산105-11),방범,37.45886082,126.917401,1,2021-09-08,,
관악구,A2011 1-1R 관악산공원 호수공원 #02,방범,37.45887887,126.947301,1,2021-09-08,,
관악구,P1069 1-3RXC 난향동 산 102-9,방범,37.45892982,126.9223546,1,2021-09-08,,
관악구,P1069 3-3S 난향동 산 102-9,방범,37.45903364,126.9225317,1,2021-09-08,,
관악구,EC001 1-1UC 난향동 산102-9(산복터널 앞),방범,37.4591706,126.9225766,1,2021-09-08,,
관악구,AD025 1-1R 안전한산책로#5 (난향동 1735-12),방범,37.45926819,126.9222609,1,2021-09-08,,
관악구,AE013 1-1R 삼성동 316-95 (약수암어린이공원),방범,37.45928016,126.9329815,1,2021-09-08,,
관악구,DB051 2-3SC 난향동 675-338,방범,37.45988753,126.9149519,1,2021-09-08,,
관악구,DB051 1-3R 난향동 675-338,방범,37.45989999,126.9148689,1,2021-09-08,,
관악구,DB051 3-3SC 난향동 675-338,방범,37.45996971,126.9148532,1,2021-09-08,,
관악구,D3030 2-4S 삼성동 316-101,방범,37.45997744,126.9329047,1,2021-09-08,,
관악구,P9025 1-1R 삼성동 산76-7 (무허가번지),방범,37.46006258,126.9297668,1,2021-09-08,,
관악구,D3030 1-4R 삼성동 316-101,방범,37.46011285,126.9328597,1,2021-09-08,,
관악구,D3030 4-4S 삼성동 316-101,방범,37.46015628,126.9329925,1,2021-09-08,,
관악구,D3030 3-4S 삼성동 316-101,방범,37.4602,126.9328304,1,2021-09-08,,
관악구,C2005 2-3U 난향동 1735-9,방범,37.46031923,126.920569,1,2021-09-08,,
관악구,C2005 1-3RXXC 난향동 1735-9,방범,37.46038014,126.9207484,1,2021-09-08,,
관악구,C2005 3-3U 난향동 1735-9,방범,37.46043745,126.9208963,1,2021-09-08,,
관악구,P9026 1-1R 삼성동 산76-4 (무허가번지),방범,37.46046751,126.9297764,1,2021-09-08,,
관악구,DA065 3-4S 난향동 675-312,방범,37.4606316,126.9153369,1,2021-09-08,,
관악구,DA065 1-4R 난향동 675-312,방범,37.46071529,126.9153562,1,2021-09-08,,
관악구,DA065 2-4S 난향동 675-312,방범,37.46072595,126.9152578,1,2021-09-08,,
관악구,DA065 4-4S 난향동 675-312,방범,37.46079659,126.9153654,1,2021-09-08,,
관악구,A2033 1-1R 관악산공원 야외식물원,방범,37.4609092,126.9481996,1,2021-09-08,,
관악구,D2039 4-4S 삼성동 316-129,방범,37.46091094,126.9323365,1,2021-09-08,,
관악구,D2039 1-4R 삼성동 316-129,방범,37.46100702,126.9322949,1,2021-09-08,,
관악구,D2039 2-4S 삼성동 316-129,방범,37.46104599,126.9324283,1,2021-09-08,,
관악구,D2039 3-4S 삼성동 316-129,방범,37.46112812,126.9322387,1,2021-09-08,,
관악구,DC014 2-5S 난향동 1735-1,방범,37.46112847,126.9223226,1,2021-09-08,,
관악구,DC014 5-5S 난향동 1735-1,방범,37.46113015,126.9221577,1,2021-09-08,,
