"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"낙성대001",1,서울특별시 관악구,서울특별시 관악구 봉천동 857-4,37.480578,126.953288,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대002",1,서울특별시 관악구 관악로 168,서울특별시 관악구 봉천동 856-1,37.480440,126.953232,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대003",1,서울특별시 관악구 남부순환로224길 25,서울특별시 관악구 봉천동 854-3,37.479883,126.953256,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대004",1,서울특별시 관악구 남부순환로224길 29,서울특별시 관악구 봉천동 854-15,37.479517,126.953203,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대005",1,서울특별시 관악구 관악로 158,서울특별시 관악구 봉천동 856-6,37.479230,126.953018,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대006",1,서울특별시 관악구 관악로 154-11,서울특별시 관악구 봉천동 855-6,37.479040,126.952958,,,02-879-6781,관악구청,2020-12-07
"낙성대007",1,서울특별시 관악구 남부순환로226길 40,서울특별시 관악구 봉천동 1598-7,37.479012,126.953278,,,02-879-6781,관악구청,2020-12-07
"낙성대008",1,서울특별시 관악구 남부순환로226길 40,서울특별시 관악구 봉천동 1598-7,37.478902,126.953265,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대009",1,서울특별시 관악구 관악로 154-11,서울특별시 관악구 봉천동 855-6,37.478935,126.952947,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대010",1,서울특별시 관악구 관악로 154,서울특별시 관악구 봉천동 1598-1,37.478849,126.952713,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대011",1,서울특별시 관악구 관악로12길 3-12,서울특별시 관악구 봉천동 1598-27,37.478631,126.952774,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대012",1,서울특별시 관악구 관악로 148,서울특별시 관악구 봉천동 1598-20,37.478366,126.952679,,한전주,02-879-6781,관악구청,2020-12-07
"낙성대013",1,서울특별시 관악구 관악로12길 5,서울특별시 관악구 봉천동 1598-23,37.478198,126.952738,,한전주,02-879-6781,관악구청,2020-12-07
